(2, 'pta1')
panel = 1
(0, 'NLO($E_T/4$)')
(5, 275.0, 1.1949463400198528, 0.045560800065464147)
(6, 325.0, 1.1971484878530705, 0.04731650522150599)
(7, 375.0, 1.2188470144847707, 0.05271701553599173)
(8, 425.0, 1.2244282626784133, 0.05512220646117605)
(9, 475.0, 1.2393922772209116, 0.05934218819287407)
(10, 525.0, 1.258751644047007, 0.06375376806526767)
(11, 575.0, 1.2634185378711378, 0.06740707464129059)
(12, 625.0, 1.2666199690903177, 0.06864766631163122)
(13, 675.0, 1.269936771289023, 0.07225891755020442)
(14, 725.0, 1.318930088381996, 0.07750332335233878)
(15, 775.0, 1.3366532440258085, 0.08019506222190143)
(16, 825.0, 1.323549482538684, 0.07977249462772418)
(17, 875.0, 1.3512268316849807, 0.07105734842011391)
(18, 925.0, 1.3650491809816434, 0.08815225226482715)
(19, 975.0, 1.3548267083392151, 0.08578235661001954)
(1, 'NLO($H_T/4$)')
(0, 25.0, 1.0652283731582863, 0.0879346024190597)
(1, 75.0, 1.1265371013628116, 0.060484782895726785)
(2, 125.0, 1.1075191505706532, 0.06907567850400942)
(3, 175.0, 1.0827955027218692, 0.08316402783359811)
(4, 225.0, 1.0780586522075648, 0.0927850609940798)
(5, 275.0, 1.085651400742065, 0.09511152497216657)
(6, 325.0, 1.092248414997168, 0.0994697076468033)
(7, 375.0, 1.11799175485215, 0.0928416373824863)
(8, 425.0, 1.1276093092098176, 0.0906882075337272)
(9, 475.0, 1.145071888143602, 0.0849166074993587)
(10, 525.0, 1.1683268777987958, 0.07542858302753963)
(11, 575.0, 1.1737432580639533, 0.0761162164461282)
(12, 625.0, 1.1774466775556671, 0.07806593787970917)
(13, 675.0, 1.1820821984397993, 0.07215016690452891)
(14, 725.0, 1.232992854467146, 0.06628985168689094)
(15, 775.0, 1.2462471154361339, 0.06323419240481543)
(16, 825.0, 1.233735578695285, 0.06463768143086024)
(17, 875.0, 1.2513578266428471, 0.10159136880269526)
(18, 925.0, 1.2805048203627625, 0.07341753335671697)
(19, 975.0, 1.2760198219664614, 0.07015814473890436)
(2, 'NLO($m_t$)')
(0, 25.0, 1.3631492237640348, 0.06345697603001732)
(1, 75.0, 1.414120710333497, 0.07265333261031981)
(2, 125.0, 1.3755778844398303, 0.06856328614659235)
(3, 175.0, 1.3206272814283684, 0.062379959260724704)
(4, 225.0, 1.283580000574613, 0.058341194126920515)
(5, 275.0, 1.2584120827508571, 0.05545885612081969)
(6, 325.0, 1.2343138897758046, 0.052674029195178496)
(7, 375.0, 1.229740813878721, 0.05327918689574429)
(8, 425.0, 1.2104076631961924, 0.050936055998322405)
(9, 475.0, 1.1993378396006749, 0.05721031088886197)
(10, 525.0, 1.1946342835738901, 0.06250423706090169)
(11, 575.0, 1.179023673781522, 0.0734446197023666)
(12, 625.0, 1.1596680058116768, 0.08832476922773747)
(13, 675.0, 1.141095714166898, 0.09333873022485517)
(14, 725.0, 1.1745850860711218, 0.09906756851829301)
(15, 775.0, 1.1833094314427806, 0.0945225413065357)
(16, 825.0, 1.126665778563469, 0.1338957922624998)
(17, 875.0, 1.1463826517823772, 0.16585828144128678)
(18, 925.0, 1.153566230310136, 0.12639983330892035)
(19, 975.0, 1.1385931457036744, 0.13014147408401233)
(35, 'phill')
panel = 1
(0, 'NLO($E_T/4$)')
(0, 0.07853981633974486, 1.0, 0.11516958630509577)
(1, 0.2356194490192345, 1.0, 0.1130126098334241)
(2, 0.39269908169872414, 1.0, 0.11014634186474503)
(3, 0.5497787143782138, 1.0, 0.1072109598420734)
(4, 0.7068583470577035, 1.0, 0.1032665755408615)
(5, 0.8639379797371931, 1.0, 0.09957924605448365)
(6, 1.0210176124166828, 1.0, 0.09423493102038216)
(7, 1.1780972450961724, 1.0, 0.08760324155641153)
(8, 1.335176877775662, 1.0, 0.08154500074683169)
(9, 1.4922565104551517, 1.0, 0.0732731681554527)
(10, 1.6493361431346414, 1.0, 0.066924302709364)
(11, 1.806415775814131, 1.0, 0.057309917228836715)
(12, 1.9634954084936207, 1.0, 0.04812200888327367)
(13, 2.1205750411731104, 1.0, 0.043706831190112316)
(14, 2.2776546738526, 1.0, 0.0606967543478758)
(15, 2.4347343065320897, 1.0, 0.0776148618998489)
(16, 2.5918139392115793, 1.0, 0.08887392035667963)
(17, 2.748893571891069, 1.0, 0.10537612190321888)
(18, 2.9059732045705586, 1.0, 0.11445430534730572)
(19, 3.0630528372500483, 1.0, 0.11841013192560823)
(1, 'NLO($H_T/4$)')
(0, 0.07853981633974486, 1.0377257760580056, 0.10941349686613155)
(1, 0.2356194490192345, 1.035741225275833, 0.10639965289683717)
(2, 0.39269908169872414, 1.0345156373250166, 0.10323894870805261)
(3, 0.5497787143782138, 1.0332688580821476, 0.09987576623110139)
(4, 0.7068583470577035, 1.0301771458445783, 0.0948726711468485)
(5, 0.8639379797371931, 1.0278735263163623, 0.0899545832292763)
(6, 1.0210176124166828, 1.0248807458993716, 0.08359715547769075)
